latitude,longitude,elevation,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,exact_time,day_of_week,time_seconds,distance,predicted_time
44.399245,-72.999479,100.2,2023-04-28 17:10:20+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:20,4,121.0,2.7817215345159614,0.004517163
44.399218,-72.999502,100.4,2023-04-28 17:10:21+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:21,4,122.0,3.515518603295547,0.004517163
44.39919,-72.999513,100.4,2023-04-28 17:10:22+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:22,4,123.0,3.232417644897061,0.004517163
44.399157,-72.999522,100.4,2023-04-28 17:10:23+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:23,4,124.0,3.73640088955051,0.004517163
44.399127,-72.999525,100.2,2023-04-28 17:10:24+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:24,4,125.0,3.3421575715868372,0.004517163
44.399091,-72.999534,100.2,2023-04-28 17:10:25+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:25,4,126.0,4.064069216727965,0.004517163
44.399062,-72.999542,100.2,2023-04-28 17:10:26+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:26,4,127.0,3.2849014401157395,0.004517163
44.399031,-72.999558,100.2,2023-04-28 17:10:27+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:27,4,128.0,3.672993156333893,0.004517163
44.399004,-72.99958,100.2,2023-04-28 17:10:28+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:28,4,129.0,3.474663945274356,0.004517163
44.39898,-72.999599,100.2,2023-04-28 17:10:29+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:29,4,130.0,3.0665036460058204,0.004517163
44.398956,-72.999628,100.4,2023-04-28 17:10:30+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:30,4,131.0,3.5284427531356917,0.004517163
44.39893,-72.99965,100.4,2023-04-28 17:10:31+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:31,4,132.0,3.379182002318945,0.004517163
44.398902,-72.999676,100.4,2023-04-28 17:10:32+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:32,4,133.0,3.7377811740431484,0.004517163
44.398877,-72.999697,100.4,2023-04-28 17:10:33+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:33,4,134.0,3.2428741532404266,0.004517163
44.398849,-72.99971,100.4,2023-04-28 17:10:34+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:34,4,135.0,3.2792039964783526,0.004517163
44.39882,-72.999717,100.2,2023-04-28 17:10:35+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:35,4,136.0,3.270378812972383,0.004517163
44.398792,-72.999718,100.2,2023-04-28 17:10:36+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:36,4,137.0,3.1123806357848394,0.004517163
